BookingID,CustomerID,FirstName,LastName,Age,Gender,Email,Phone,Airline,FlightNo,DepartureCity,ArrivalCity,BookingDate,FlightDate,SeatClass,Passengers,Fare,PaymentMethod,BookingStatus
BKG100010,CUST11974,Name2324,Surname1940,23,Male,user10@example.com,9885879795,Akasa Air,AI878,Kolkata,Goa,11-11-2025,27-11-2025,Business,2,4398,Credit Card,Completed
BKG100011,CUST14970,Name1734,Surname1976,31,Male,user11@example.com,9865523129,SpiceJet,QP787,Goa,Hyderabad,19-06-2025,06-07-2025,Business,3,19790,Net Banking,Completed
BKG100012,CUST12770,Name87,Surname1205,53,Male,user12@example.com,9731832764,Air India,AI172,Goa,Chennai,11-09-2025,26-09-2025,Business,1,4598,Credit Card,Confirmed
BKG100013,CUST11950,Name1141,Surname1371,49,Male,user13@example.com,9678998028,Air India,QP348,Chennai,Goa,05-12-2025,10-12-2025,Premium Economy,4,19347,Credit Card,Confirmed
BKG100014,CUST13368,Name1913,Surname1770,64,Male,user14@example.com,9823019672,IndiGo,AI512,Mumbai,Pune,18-03-2026,10-04-2026,Business,3,16379,UPI,Confirmed
BKG100015,CUST13457,Name752,Surname571,47,Male,user15@example.com,9180943908,Akasa Air,AI151,Bengaluru,Mumbai,04-07-2026,02-08-2026,Business,5,7093,UPI,Confirmed
BKG100016,CUST11752,Name1643,Surname1849,21,Male,user16@example.com,9506919288,IndiGo,QP371,Bengaluru,Mumbai,21-02-2026,25-03-2026,Premium Economy,3,18273,Net Banking,Completed
BKG100017,CUST10480,Name2373,Surname1507,52,Male,user17@example.com,9903132646,SpiceJet,AI151,Goa,Mumbai,14-07-2025,02-08-2025,Business,4,9633,Credit Card,Confirmed
BKG100018,CUST10557,Name2766,Surname1766,33,Female,user18@example.com,9228727266,Vistara,6E692,Mumbai,Goa,10-07-2025,15-07-2025,Business,1,21998,UPI,Cancelled
BKG100019,CUST11956,Name1088,Surname811,26,Female,user19@example.com,9590941149,SpiceJet,AI109,Kolkata,Delhi,29-07-2025,10-09-2025,Premium Economy,5,12795,UPI,Confirmed
BKG100020,CUST10564,Name1001,Surname757,36,Male,user20@example.com,9570497096,Vistara,SG726,Bengaluru,Kolkata,29-09-2025,08-10-2025,Business,5,13936,UPI,Completed
BKG100021,CUST12167,Name473,Surname1823,24,Male,user21@example.com,9392431670,SpiceJet,6E834,Hyderabad,Pune,17-04-2025,13-06-2025,Premium Economy,2,6900,Debit Card,Completed
BKG100022,CUST13470,Name1134,Surname91,18,Female,user22@example.com,9927982963,Air India,SG265,Goa,Delhi,22-02-2025,28-02-2025,Business,4,23284,Net Banking,Completed
BKG100023,CUST14470,Name148,Surname1710,41,Male,user23@example.com,9561479973,Air India,AI415,Chennai,Mumbai,19-03-2025,15-05-2025,Premium Economy,1,7384,Debit Card,Confirmed
BKG100024,CUST13330,Name2543,Surname1535,27,Male,user24@example.com,9274484941,Air India,QP125,Bengaluru,Pune,16-04-2025,09-05-2025,Economy,3,20846,Net Banking,Completed
BKG100025,CUST13134,Name159,Surname1759,48,Male,user25@example.com,9314289692,Akasa Air,SG412,Bengaluru,Delhi,13-06-2025,03-08-2025,Economy,2,6042,UPI,Completed
BKG100026,CUST12287,Name1439,Surname1314,50,Female,user26@example.com,9829627019,Vistara,SG128,Bengaluru,Hyderabad,03-12-2025,21-12-2025,Economy,3,4774,Credit Card,Completed
BKG100027,CUST12832,Name2985,Surname1611,38,Female,user27@example.com,9750911797,Vistara,AI494,Hyderabad,Chennai,22-04-2025,31-05-2025,Business,2,16739,Debit Card,Confirmed
BKG100028,CUST11615,Name1492,Surname884,22,Female,user28@example.com,9769108025,SpiceJet,AI837,Pune,Chennai,17-06-2026,16-08-2026,Premium Economy,5,20143,Debit Card,Completed
BKG100029,CUST14542,Name522,Surname393,44,Female,user29@example.com,9827264603,Air India,SG515,Pune,Delhi,17-02-2026,03-04-2026,Business,1,12188,Debit Card,Cancelled
BKG100030,CUST12640,Name1905,Surname905,46,Male,user30@example.com,9648868899,Akasa Air,6E774,Bengaluru,Hyderabad,17-08-2026,25-09-2026,Economy,3,23953,Debit Card,Confirmed
BKG100031,CUST11208,Name101,Surname95,33,Female,user31@example.com,9756350429,IndiGo,QP524,Bengaluru,Pune,14-11-2025,29-11-2025,Business,5,9025,Credit Card,Completed
BKG100032,CUST10046,Name437,Surname1595,45,Male,user32@example.com,9288856883,Vistara,QP151,Pune,Bengaluru,14-02-2026,02-03-2026,Business,2,7335,UPI,Cancelled
BKG100033,CUST14579,Name2439,Surname650,66,Female,user33@example.com,9757830420,Vistara,QP950,Delhi,Goa,21-04-2026,03-06-2026,Business,4,19904,Credit Card,Completed
BKG100034,CUST12272,Name2136,Surname993,58,Male,user34@example.com,9394846763,Akasa Air,AI830,Goa,Bengaluru,23-09-2025,11-11-2025,Premium Economy,2,10601,Debit Card,Cancelled
BKG100035,CUST11895,Name1569,Surname1422,27,Male,user35@example.com,9168965204,Akasa Air,QP438,Kolkata,Hyderabad,24-03-2025,02-04-2025,Business,4,7442,Net Banking,Confirmed
BKG100036,CUST10161,Name2359,Surname780,48,Male,user36@example.com,9477698143,SpiceJet,QP973,Bengaluru,Goa,07-03-2026,01-04-2026,Premium Economy,5,21639,Credit Card,Cancelled
BKG100037,CUST13186,Name1377,Surname1370,61,Female,user37@example.com,9877583839,Air India,QP230,Bengaluru,Delhi,23-03-2026,24-04-2026,Business,5,3451,UPI,Cancelled
BKG100038,CUST11489,Name206,Surname533,42,Female,user38@example.com,9327268503,Akasa Air,SG445,Chennai,Mumbai,15-03-2026,24-03-2026,Premium Economy,3,17628,Net Banking,Cancelled
BKG100039,CUST10427,Name1434,Surname460,59,Male,user39@example.com,9938842599,IndiGo,AI353,Mumbai,Hyderabad,20-01-2025,09-03-2025,Economy,1,20175,Credit Card,Confirmed
BKG100040,CUST13810,Name2866,Surname525,67,Female,user40@example.com,9280162221,Vistara,AI896,Delhi,Hyderabad,28-04-2025,04-06-2025,Economy,3,9642,UPI,Completed
BKG100041,CUST13250,Name2929,Surname407,22,Male,user41@example.com,9209415691,SpiceJet,AI915,Chennai,Bengaluru,13-08-2026,26-09-2026,Business,1,14798,Debit Card,Completed
BKG100042,CUST12796,Name52,Surname1740,44,Female,user42@example.com,9213321496,Akasa Air,SG750,Pune,Kolkata,15-01-2026,20-01-2026,Premium Economy,2,19079,Net Banking,Confirmed
BKG100043,CUST13809,Name1785,Surname1692,64,Female,user43@example.com,9446071904,Air India,AI385,Hyderabad,Kolkata,06-07-2026,25-08-2026,Premium Economy,2,18343,Net Banking,Completed
BKG100044,CUST11490,Name1998,Surname435,40,Female,user44@example.com,9465436049,SpiceJet,SG669,Pune,Delhi,30-01-2025,03-03-2025,Economy,5,13150,Credit Card,Confirmed
BKG100045,CUST11969,Name2829,Surname976,59,Female,user45@example.com,9581223755,IndiGo,AI401,Bengaluru,Pune,21-02-2026,25-03-2026,Economy,4,20692,Credit Card,Cancelled
BKG100046,CUST13486,Name2255,Surname678,40,Female,user46@example.com,9390894296,SpiceJet,SG336,Kolkata,Bengaluru,21-07-2026,24-08-2026,Economy,2,13764,Debit Card,Confirmed
BKG100047,CUST12266,Name2968,Surname1208,66,Female,user47@example.com,9207939087,Air India,SG332,Delhi,Mumbai,10-08-2025,27-09-2025,Premium Economy,2,18366,Debit Card,Confirmed
BKG100048,CUST12394,Name2857,Surname1934,26,Female,user48@example.com,9210152642,IndiGo,SG580,Delhi,Bengaluru,16-02-2025,20-02-2025,Premium Economy,4,20632,Debit Card,Confirmed
BKG100049,CUST13283,Name2015,Surname152,54,Male,user49@example.com,9262915636,Air India,SG187,Chennai,Bengaluru,05-05-2026,13-05-2026,Economy,1,4641,Net Banking,Completed
BKG100050,CUST13627,Name1218,Surname1762,55,Female,user50@example.com,9427899537,Vistara,AI724,Bengaluru,Goa,20-06-2026,15-07-2026,Business,1,17262,Credit Card,Completed
BKG100051,CUST11424,Name2261,Surname154,28,Male,user51@example.com,9538642403,Akasa Air,QP398,Bengaluru,Delhi,25-03-2025,05-04-2025,Economy,2,10359,Debit Card,Completed
BKG100052,CUST12168,Name2561,Surname1208,60,Male,user52@example.com,9556489494,IndiGo,6E763,Hyderabad,Pune,10-04-2026,15-04-2026,Economy,3,10148,Credit Card,Confirmed
BKG100053,CUST12365,Name1799,Surname255,47,Female,user53@example.com,9851333320,Akasa Air,SG612,Chennai,Delhi,11-11-2025,20-12-2025,Business,4,21151,Net Banking,Confirmed
BKG100054,CUST10212,Name375,Surname469,61,Male,user54@example.com,9921155204,SpiceJet,AI881,Chennai,Hyderabad,27-11-2025,05-01-2026,Economy,4,10704,Net Banking,Cancelled
BKG100055,CUST10748,Name1926,Surname713,44,Female,user55@example.com,9444733679,IndiGo,6E437,Delhi,Kolkata,23-03-2026,03-05-2026,Premium Economy,4,18612,Debit Card,Completed
BKG100056,CUST10722,Name1289,Surname517,38,Male,user56@example.com,9929517022,Akasa Air,AI773,Pune,Goa,18-07-2026,21-07-2026,Business,4,17403,Net Banking,Confirmed
BKG100057,CUST13622,Name212,Surname417,35,Male,user57@example.com,9409268943,Akasa Air,QP224,Bengaluru,Kolkata,06-01-2026,15-02-2026,Economy,5,18834,Credit Card,Completed
BKG100058,CUST13343,Name382,Surname461,71,Male,user58@example.com,9595475899,IndiGo,6E610,Delhi,Bengaluru,19-07-2026,20-07-2026,Business,3,20596,Debit Card,Cancelled
BKG100059,CUST11185,Name1572,Surname391,56,Male,user59@example.com,9174958005,SpiceJet,QP448,Goa,Bengaluru,07-09-2025,07-10-2025,Business,3,20563,UPI,Cancelled
BKG100060,CUST11218,Name1830,Surname1104,48,Female,user60@example.com,9456954682,Vistara,QP566,Hyderabad,Goa,17-08-2026,29-09-2026,Premium Economy,2,18544,Credit Card,Completed
BKG100061,CUST13875,Name2889,Surname1871,69,Female,user61@example.com,9514548900,Air India,QP137,Pune,Mumbai,25-02-2026,28-02-2026,Economy,5,12926,Debit Card,Confirmed
BKG100062,CUST10126,Name2960,Surname296,44,Male,user62@example.com,9180346223,Akasa Air,SG446,Goa,Chennai,23-06-2026,21-08-2026,Business,4,17472,UPI,Cancelled
BKG100063,CUST10295,Name2530,Surname141,33,Female,user63@example.com,9344261532,IndiGo,QP200,Pune,Delhi,15-05-2026,10-07-2026,Business,1,20228,Net Banking,Confirmed
BKG100064,CUST12404,Name1469,Surname768,45,Male,user64@example.com,9362204999,Vistara,QP679,Hyderabad,Chennai,17-02-2025,10-03-2025,Business,2,4338,Credit Card,Confirmed
BKG100065,CUST11973,Name2039,Surname1870,55,Male,user65@example.com,9349310440,Akasa Air,SG570,Mumbai,Kolkata,27-01-2026,08-03-2026,Premium Economy,1,24884,Net Banking,Cancelled
BKG100066,CUST12451,Name2618,Surname1971,45,Female,user66@example.com,9590523712,SpiceJet,6E493,Delhi,Chennai,29-03-2026,21-04-2026,Premium Economy,1,21753,Credit Card,Cancelled
BKG100067,CUST10180,Name2697,Surname811,35,Male,user67@example.com,9707661655,IndiGo,QP952,Kolkata,Hyderabad,30-10-2025,14-12-2025,Premium Economy,2,12174,Debit Card,Confirmed
BKG100068,CUST11121,Name2574,Surname199,75,Male,user68@example.com,9431714152,Akasa Air,AI693,Bengaluru,Kolkata,14-09-2025,28-10-2025,Premium Economy,2,24100,UPI,Cancelled
BKG100069,CUST11083,Name2210,Surname1795,41,Female,user69@example.com,9991713190,Air India,SG944,Kolkata,Pune,02-03-2026,14-03-2026,Premium Economy,3,9079,Debit Card,Confirmed
BKG100070,CUST13256,Name2283,Surname750,23,Female,user70@example.com,9114945047,SpiceJet,AI565,Goa,Chennai,25-05-2025,13-07-2025,Premium Economy,3,9892,Net Banking,Completed
BKG100071,CUST14600,Name1344,Surname1875,57,Male,user71@example.com,9795411453,IndiGo,QP817,Kolkata,Chennai,28-08-2025,28-09-2025,Premium Economy,4,3320,UPI,Confirmed
BKG100072,CUST10797,Name962,Surname1818,52,Male,user72@example.com,9517305280,Akasa Air,SG786,Chennai,Mumbai,08-11-2025,10-12-2025,Business,5,6305,Net Banking,Completed
BKG100073,CUST13344,Name1146,Surname68,62,Female,user73@example.com,9333291547,Akasa Air,QP341,Delhi,Hyderabad,12-04-2025,05-06-2025,Premium Economy,1,18534,Debit Card,Completed
BKG100074,CUST11001,Name1863,Surname188,60,Male,user74@example.com,9789024924,Vistara,AI151,Kolkata,Chennai,12-02-2026,02-03-2026,Premium Economy,2,8719,Credit Card,Completed
BKG100075,CUST11770,Name955,Surname673,67,Male,user75@example.com,9946799779,Vistara,AI383,Bengaluru,Chennai,22-07-2026,05-08-2026,Economy,2,21714,Debit Card,Confirmed
BKG100076,CUST12935,Name975,Surname1206,38,Male,user76@example.com,9287095435,SpiceJet,AI229,Mumbai,Pune,27-01-2025,05-02-2025,Business,4,2986,UPI,Completed
BKG100077,CUST14205,Name2432,Surname224,46,Male,user77@example.com,9760465943,IndiGo,SG569,Mumbai,Hyderabad,05-04-2026,25-05-2026,Business,1,14363,UPI,Cancelled
BKG100078,CUST10603,Name331,Surname660,56,Male,user78@example.com,9170525764,Air India,SG739,Pune,Bengaluru,21-04-2025,23-05-2025,Business,5,17034,Debit Card,Cancelled
BKG100079,CUST10813,Name2875,Surname235,72,Male,user79@example.com,9561784080,Akasa Air,6E523,Hyderabad,Bengaluru,02-06-2026,11-07-2026,Premium Economy,4,16596,Net Banking,Cancelled
BKG100080,CUST12089,Name1534,Surname1953,27,Female,user80@example.com,9172083844,IndiGo,AI195,Mumbai,Bengaluru,14-03-2026,04-04-2026,Premium Economy,1,24294,Debit Card,Confirmed
BKG100081,CUST11002,Name1683,Surname725,73,Female,user81@example.com,9874233009,IndiGo,SG714,Chennai,Kolkata,30-07-2026,04-09-2026,Premium Economy,3,13301,UPI,Completed
BKG100082,CUST12869,Name2279,Surname753,25,Female,user82@example.com,9716435189,Air India,QP965,Bengaluru,Mumbai,09-05-2026,24-05-2026,Business,5,6046,UPI,Completed
BKG100083,CUST12784,Name1438,Surname13,29,Male,user83@example.com,9708082645,Akasa Air,AI245,Hyderabad,Chennai,04-07-2025,22-07-2025,Business,1,12624,UPI,Completed
BKG100084,CUST11290,Name1516,Surname639,64,Female,user84@example.com,9934120892,Vistara,AI153,Bengaluru,Hyderabad,06-03-2026,05-04-2026,Economy,2,13670,UPI,Completed
BKG100085,CUST13979,Name2487,Surname906,44,Female,user85@example.com,9331465414,Vistara,AI453,Mumbai,Bengaluru,30-03-2026,12-05-2026,Premium Economy,1,16394,Debit Card,Completed
BKG100086,CUST13238,Name2455,Surname113,18,Male,user86@example.com,9423646570,Air India,6E882,Goa,Hyderabad,12-11-2025,15-11-2025,Premium Economy,3,9725,Debit Card,Confirmed
BKG100087,CUST13115,Name2182,Surname1442,32,Female,user87@example.com,9177390472,Akasa Air,AI546,Chennai,Hyderabad,17-03-2026,29-03-2026,Economy,4,6733,UPI,Cancelled
BKG100088,CUST13422,Name1186,Surname236,43,Male,user88@example.com,9448717183,Air India,QP951,Pune,Hyderabad,19-02-2026,06-04-2026,Business,3,23476,UPI,Cancelled
BKG100089,CUST14293,Name323,Surname811,73,Female,user89@example.com,9900801837,SpiceJet,6E441,Mumbai,Delhi,23-03-2026,30-04-2026,Economy,1,15621,UPI,Completed
BKG100090,CUST11210,Name968,Surname211,27,Female,user90@example.com,9311818984,Air India,6E878,Bengaluru,Goa,24-12-2025,16-01-2026,Business,1,23649,Credit Card,Completed
BKG100091,CUST13678,Name2790,Surname1893,74,Female,user91@example.com,9773469560,SpiceJet,6E550,Goa,Bengaluru,01-08-2026,19-09-2026,Economy,4,21488,Net Banking,Completed
BKG100092,CUST12884,Name2079,Surname152,37,Female,user92@example.com,9585238820,IndiGo,AI477,Hyderabad,Goa,09-10-2025,16-11-2025,Premium Economy,1,4340,UPI,Completed
BKG100093,CUST13685,Name2342,Surname1335,30,Female,user93@example.com,9749620068,Akasa Air,6.00E+163,Pune,Bengaluru,18-08-2026,23-09-2026,Premium Economy,1,3844,Debit Card,Completed
BKG100094,CUST13587,Name1800,Surname1074,51,Male,user94@example.com,9490732457,SpiceJet,SG496,Mumbai,Kolkata,26-06-2025,29-06-2025,Premium Economy,3,10618,UPI,Completed
BKG100095,CUST13167,Name1164,Surname517,64,Male,user95@example.com,9457944766,IndiGo,6E458,Kolkata,Chennai,04-12-2025,11-12-2025,Premium Economy,4,20783,Credit Card,Completed
BKG100096,CUST12691,Name524,Surname1373,62,Male,user96@example.com,9793663866,Akasa Air,SG118,Mumbai,Bengaluru,27-07-2026,21-08-2026,Premium Economy,3,23585,Credit Card,Confirmed
BKG100097,CUST11127,Name635,Surname159,36,Male,user97@example.com,9645127678,Vistara,AI777,Kolkata,Goa,13-05-2026,26-05-2026,Premium Economy,5,9923,Credit Card,Completed
BKG100098,CUST11357,Name2954,Surname897,20,Female,user98@example.com,9491163514,Air India,QP725,Pune,Mumbai,16-06-2025,28-06-2025,Premium Economy,4,22971,Credit Card,Completed
BKG100099,CUST13014,Name2779,Surname1940,54,Female,user99@example.com,9595725097,SpiceJet,QP614,Bengaluru,Delhi,26-04-2026,23-06-2026,Business,4,8857,Credit Card,Confirmed
BKG100100,CUST13937,Name1521,Surname1136,24,Male,user100@example.com,9406084084,IndiGo,6E379,Delhi,Goa,14-09-2025,18-09-2025,Premium Economy,5,23510,Credit Card,Cancelled
BKG100101,CUST10219,Name1700,Surname110,43,Female,user101@example.com,9353164777,Akasa Air,AI483,Mumbai,Delhi,07-04-2026,03-06-2026,Economy,1,13955,Debit Card,Confirmed
BKG100102,CUST12351,Name1936,Surname1426,71,Male,user102@example.com,9914799481,Akasa Air,QP730,Kolkata,Goa,30-05-2025,08-06-2025,Economy,1,3755,UPI,Cancelled
BKG100103,CUST14324,Name1734,Surname228,67,Female,user103@example.com,9355164255,SpiceJet,AI148,Bengaluru,Goa,03-06-2025,09-07-2025,Economy,4,22451,Net Banking,Confirmed
BKG100104,CUST10135,Name2589,Surname1056,54,Male,user104@example.com,9871531100,Air India,SG539,Mumbai,Goa,27-05-2026,05-07-2026,Economy,5,20065,Debit Card,Confirmed
BKG100105,CUST10555,Name2155,Surname1115,50,Male,user105@example.com,9519246503,Akasa Air,AI750,Pune,Mumbai,29-03-2025,02-05-2025,Premium Economy,3,14316,Debit Card,Completed
BKG100106,CUST10850,Name2384,Surname1506,66,Female,user106@example.com,9243247463,IndiGo,SG659,Chennai,Bengaluru,11-03-2025,03-04-2025,Premium Economy,2,10401,Net Banking,Completed
BKG100107,CUST10517,Name2933,Surname1590,47,Male,user107@example.com,9415081566,Air India,AI910,Goa,Kolkata,06-07-2025,27-08-2025,Economy,1,6918,Debit Card,Cancelled
BKG100108,CUST10300,Name2650,Surname392,36,Female,user108@example.com,9938422254,IndiGo,SG379,Pune,Goa,11-07-2026,11-08-2026,Economy,3,10800,Net Banking,Cancelled
BKG100109,CUST14076,Name1505,Surname1893,69,Female,user109@example.com,9960226208,IndiGo,QP180,Goa,Bengaluru,14-12-2025,26-12-2025,Premium Economy,5,18759,Credit Card,Completed
BKG100110,CUST12422,Name1256,Surname914,56,Female,user110@example.com,9278933456,Akasa Air,SG557,Hyderabad,Delhi,16-04-2025,22-04-2025,Economy,3,13245,Net Banking,Cancelled
BKG100111,CUST11311,Name128,Surname293,72,Female,user111@example.com,9137365109,Air India,AI341,Chennai,Mumbai,20-02-2026,16-03-2026,Business,3,19312,Debit Card,Cancelled
BKG100112,CUST13039,Name1524,Surname910,66,Male,user112@example.com,9716243819,Air India,SG507,Chennai,Kolkata,07-06-2025,21-07-2025,Premium Economy,3,17243,Credit Card,Confirmed
BKG100113,CUST13171,Name2301,Surname242,34,Female,user113@example.com,9855954847,Akasa Air,6E726,Chennai,Pune,10-07-2025,11-08-2025,Premium Economy,4,19465,Credit Card,Confirmed
BKG100114,CUST13647,Name360,Surname1660,61,Female,user114@example.com,9817087513,SpiceJet,AI663,Delhi,Goa,17-03-2025,15-04-2025,Business,3,8157,Debit Card,Confirmed
BKG100115,CUST10995,Name824,Surname1623,26,Male,user115@example.com,9948656610,Akasa Air,AI469,Delhi,Goa,06-01-2026,08-02-2026,Business,5,9847,Debit Card,Cancelled
BKG100116,CUST13262,Name2937,Surname1473,48,Female,user116@example.com,9925884151,Akasa Air,AI228,Delhi,Kolkata,30-03-2025,04-04-2025,Premium Economy,1,12634,Net Banking,Cancelled
BKG100117,CUST11491,Name529,Surname887,50,Male,user117@example.com,9992699085,IndiGo,6E411,Kolkata,Mumbai,19-07-2026,29-08-2026,Economy,2,21760,Debit Card,Completed
BKG100118,CUST10647,Name1027,Surname403,58,Female,user118@example.com,9234400576,SpiceJet,AI614,Bengaluru,Delhi,16-06-2026,13-08-2026,Business,2,11807,Credit Card,Confirmed
BKG100119,CUST10666,Name187,Surname1943,59,Female,user119@example.com,9799145494,Air India,QP732,Kolkata,Goa,01-08-2026,04-08-2026,Business,1,3429,Net Banking,Completed
BKG100120,CUST13327,Name1219,Surname929,22,Male,user120@example.com,9269737590,Akasa Air,QP595,Hyderabad,Pune,06-11-2025,07-12-2025,Premium Economy,2,10524,Debit Card,Completed
BKG100121,CUST13267,Name536,Surname1558,41,Male,user121@example.com,9442648079,Air India,QP225,Delhi,Bengaluru,23-11-2025,09-01-2026,Premium Economy,4,13817,Credit Card,Confirmed
BKG100122,CUST13426,Name1017,Surname1972,73,Male,user122@example.com,9973465185,SpiceJet,SG294,Mumbai,Chennai,25-10-2025,19-11-2025,Economy,4,22664,Net Banking,Cancelled
BKG100123,CUST14141,Name1873,Surname1980,33,Male,user123@example.com,9726360971,SpiceJet,AI151,Hyderabad,Bengaluru,24-01-2025,30-01-2025,Premium Economy,4,15385,Net Banking,Cancelled
BKG100124,CUST12167,Name2980,Surname750,66,Female,user124@example.com,9492922240,IndiGo,QP152,Chennai,Goa,21-04-2025,19-05-2025,Business,5,6888,Credit Card,Cancelled
BKG100125,CUST14505,Name1146,Surname1691,57,Male,user125@example.com,9238151258,IndiGo,QP482,Hyderabad,Chennai,31-01-2026,05-03-2026,Premium Economy,5,17257,Debit Card,Confirmed
BKG100126,CUST10330,Name186,Surname80,26,Female,user126@example.com,9963251765,Akasa Air,QP252,Bengaluru,Kolkata,06-06-2026,02-07-2026,Business,5,18886,Credit Card,Cancelled
BKG100127,CUST14864,Name1378,Surname1039,71,Female,user127@example.com,9861003571,Vistara,SG586,Kolkata,Mumbai,07-02-2026,19-03-2026,Economy,3,12305,Debit Card,Completed
BKG100128,CUST10219,Name2445,Surname972,34,Male,user128@example.com,9874597473,IndiGo,QP274,Mumbai,Hyderabad,21-08-2026,10-09-2026,Business,5,23119,Net Banking,Confirmed
BKG100129,CUST11563,Name78,Surname904,38,Female,user129@example.com,9262598077,Akasa Air,6E520,Bengaluru,Chennai,10-08-2026,24-09-2026,Business,5,6101,Net Banking,Completed
BKG100130,CUST14595,Name1332,Surname1357,48,Female,user130@example.com,9436889280,Air India,QP645,Chennai,Pune,22-05-2025,25-06-2025,Premium Economy,5,9294,Debit Card,Completed
BKG100131,CUST12286,Name2286,Surname612,32,Female,user131@example.com,9928042067,SpiceJet,6E806,Hyderabad,Kolkata,11-05-2026,24-05-2026,Business,4,10577,Debit Card,Cancelled
BKG100132,CUST14698,Name2772,Surname1113,42,Female,user132@example.com,9978726109,SpiceJet,6E397,Kolkata,Hyderabad,08-10-2025,27-10-2025,Economy,3,6493,UPI,Cancelled
BKG100133,CUST11753,Name828,Surname1696,52,Female,user133@example.com,9703462253,SpiceJet,6.00E+211,Goa,Kolkata,20-09-2025,07-11-2025,Business,5,18198,Credit Card,Confirmed
BKG100134,CUST11908,Name216,Surname206,44,Female,user134@example.com,9870257350,Akasa Air,AI797,Chennai,Pune,28-06-2026,13-07-2026,Economy,1,23404,Credit Card,Cancelled
BKG100135,CUST12632,Name1170,Surname1323,21,Male,user135@example.com,9800400428,Vistara,6E647,Goa,Bengaluru,24-07-2025,11-09-2025,Business,1,11912,Credit Card,Cancelled
BKG100136,CUST11527,Name1186,Surname1796,20,Male,user136@example.com,9420396197,Vistara,AI443,Delhi,Chennai,11-02-2026,03-04-2026,Premium Economy,4,18732,Net Banking,Confirmed
BKG100137,CUST12709,Name666,Surname1498,47,Female,user137@example.com,9871588919,Air India,AI854,Goa,Delhi,17-07-2025,07-09-2025,Premium Economy,3,6191,Credit Card,Confirmed
BKG100138,CUST10711,Name1642,Surname1371,24,Male,user138@example.com,9250980852,Akasa Air,SG354,Pune,Goa,14-03-2026,16-04-2026,Economy,3,13245,Net Banking,Confirmed
BKG100139,CUST14772,Name2961,Surname1174,18,Female,user139@example.com,9801887172,SpiceJet,6.00E+163,Goa,Pune,01-10-2025,23-10-2025,Business,1,12394,Net Banking,Cancelled
BKG100140,CUST10962,Name2617,Surname1877,36,Female,user140@example.com,9759949050,Air India,6.00E+236,Delhi,Hyderabad,30-05-2026,29-07-2026,Premium Economy,2,12690,Net Banking,Completed
BKG100141,CUST14404,Name2721,Surname1691,31,Male,user141@example.com,9830511568,Vistara,AI638,Kolkata,Bengaluru,17-07-2026,14-09-2026,Premium Economy,5,17928,Debit Card,Confirmed
BKG100142,CUST11657,Name2346,Surname1100,27,Male,user142@example.com,9452313624,Vistara,QP219,Mumbai,Chennai,15-07-2026,11-09-2026,Business,2,19063,Net Banking,Confirmed
BKG100143,CUST14205,Name1702,Surname936,54,Male,user143@example.com,9700003920,Akasa Air,SG840,Goa,Pune,26-02-2025,28-03-2025,Economy,4,6823,Debit Card,Confirmed
BKG100144,CUST12823,Name2869,Surname131,52,Male,user144@example.com,9174108740,Akasa Air,AI393,Bengaluru,Kolkata,16-03-2025,19-03-2025,Premium Economy,2,16383,Credit Card,Completed
